text,date,url,from
@leenvervaeke @volkskrant Al iets bekend over uitkomst  rechtzaak van Xu Zaozao tegen het ziekenhuis dat haar eicellen niet wilde invriezen?,2023-06-25 10:06:18+00:00,https://twitter.com/fmprak/status/1672909073052778497,fmprak
"@leenvervaeke @volkskrant Chinezen plegen al jaren massaal zelfmoorden in de mega fabrieken waar ze als slachtvee te werk gesteld worden of de tienduizenden oeigoeren in heropvoedings kampen, Lockdowns waren daar een probleem voor de elite",2023-06-09 10:18:03+00:00,https://twitter.com/ruudvz/status/1667113821507338240,ruudvz
@leenvervaeke @askimono 哈哈哈,2023-06-09 03:41:48+00:00,https://twitter.com/KShmushko/status/1667014103045644288,KShmushko
"‘s Avonds spreek ik privéleerkracht die scholieren helpt met voorbereiden Gaokao. Is puur uit hoofd leren, zegt hij. Leerlingen kiezen niet vakken waarin ze meest geïnteresseerd zijn, maar waarmee ze meest punten kunnen scoren. ‘In iets geïnteresseerd zijn, dat is voor na Gaokao’",2023-06-09 00:41:37+00:00,https://twitter.com/leenvervaeke/status/1666968758550925318,leenvervaeke
"Ik loop langs school in gezelschap v Chinese vader met zoon v 11 jaar. Zoon maakt elke dag huiswerk tot 23-24 uur, staat om 6 uur op. 3x per week Engelse bijles. ‘Ik wou dat mijn zoon vaker zou kunnen ontspannen’, zegt hij. Maar ja… concurrentiestrijd voor Gaokao begint vroeg.",2023-06-09 00:41:36+00:00,https://twitter.com/leenvervaeke/status/1666968753157066752,leenvervaeke
"Overal rond scholen: tentjes met vrijwilligers die water of gadgets uitdelen, studenten aanmoedigen of - zoals hier - psychologische hulp verlenen. Hoor regelmatig v Chinese vrienden over extreme stress in aanloop naar en tijdens Gaokao, en daarmee verbonden medische problemen. https://t.co/bfuapGABdG",2023-06-09 00:41:32+00:00,https://twitter.com/leenvervaeke/status/1666968738380550145,leenvervaeke
"Borden met regels om spieken tegen te gaan: telefoons en communicatieapparatuur verboden, en er wordt gecontroleerd op valse ID kaarten. Wie te laat komt, mag niet meer binnen. Op veel scholen is signaal voor mobiele telefonie uitgeschakeld. Uiteraard overal camera’s. https://t.co/cEKJHSR22Z",2023-06-09 00:41:27+00:00,https://twitter.com/leenvervaeke/status/1666968715282513920,leenvervaeke
@leenvervaeke Sounds like Nazi Germany…,2023-06-03 05:51:11+00:00,https://twitter.com/Znbrg/status/1664872334975549441,Znbrg
"In Hongkong, waar slachtoffers v neergeslagen Tiananmenprotest decennia lang werden herdacht, is wake in Victoria Park voor vierde jaar op rij verboden. 
https://t.co/suW9ZNoZVV
De voorbije weken zijn boeken over Tiananmenprotest uit Hongkongse bibliotheken verwijderd.",2023-06-03 04:10:53+00:00,https://twitter.com/leenvervaeke/status/1664847095722053633,leenvervaeke
"In de dagen rond 4 juni (datum neergeslagen Tiananmenprotest in 1989) neemt censuur in China altijd (nog) extremere vormen aan. Ondermeer termen als ‘64’, ‘35 mei’ of ‘dat jaar’ en emoji’s van kaarsen zijn dan verboden. 

Meer over Sitong Bridge protest: https://t.co/3P5FEYte8W",2023-06-03 04:10:52+00:00,https://twitter.com/leenvervaeke/status/1664847090877333511,leenvervaeke
Plaatsnaamborden op Sitong Bridge zelf zijn weggehaald.,2023-06-03 04:10:51+00:00,https://twitter.com/leenvervaeke/status/1664847085374513152,leenvervaeke
"@leenvervaeke @askimono Deze is zonder spelfouten,  bijzonder",2023-06-01 17:23:03+00:00,https://twitter.com/AMontulet/status/1664321675087822873,AMontulet
"@leenvervaeke @askimono Je blijft je verbazen over wat je in Chinese winkels tegenkomt, zelfs op de kinderafdeling. https://t.co/jE7aufgvNP",2023-06-01 13:29:08+00:00,https://twitter.com/Blogaap/status/1664262807188303876,Blogaap
"@leenvervaeke @volkskrant Ik vermoed dat Hoekstra zijn nederige excuses zal gaan maken voor alle oorlogstaal, sancties en handelsbelemmeringen die Nederland in opdracht van de Amerikanen aan China heeft opgelegd.

Alhoewel ik ook betwijfel of Hoekstra daar de ballen voor zou hebben.
Nee die is te slaafs",2023-05-23 10:22:24+00:00,https://twitter.com/RonnyMcA/status/1660954324678090760,RonnyMcA
@leenvervaeke @volkskrant En dan de foto van een typisch Nederlands gebouw...🙄 of is die specifieke rode loper ook in China?😆,2023-05-23 07:00:11+00:00,https://twitter.com/globy07/status/1660903433883250690,globy07
"@leenvervaeke Maw, wat China betreft is Europa zelfs geen junior partner meer maar een verward, weerspannig kind die geleid moet worden?
En laffaard Scholz zei liet eerder deze week ontvallen dat ""de EU geen 3e wereldmacht moet worden, naast de 3 andere""?
Geef mij dan maar Meloni.",2023-05-12 04:10:15+00:00,https://twitter.com/WD4963/status/1656874402917523456,WD4963
@leenvervaeke taught some lessons，LOL.  standard changlish.,2023-05-12 03:41:47+00:00,https://twitter.com/koke80915105/status/1656867239570837508,koke80915105
@leenvervaeke @volkskrant @Carlijnvanesch What a country…,2023-05-03 04:53:38+00:00,https://twitter.com/Znbrg/status/1653623830760284161,Znbrg
