text,date,url,from
@sinancan77 Mooi! Ben net een roman aan het lezen over rumi https://t.co/O3x1nEGzye,2023-06-18 12:40:04+00:00,https://twitter.com/jolb1212/status/1670411053685932033,jolb1212
@sinancan77 @catharin2 Mooi Sinan. Lief ook!🙏❤️,2023-06-18 12:17:05+00:00,https://twitter.com/PietjePool1/status/1670405271041056769,PietjePool1
@sinancan77 Mooi 🥰,2023-06-18 12:13:33+00:00,https://twitter.com/HulseggeMarjon/status/1670404380149809153,HulseggeMarjon
@sinancan77 ❤️,2023-06-18 11:52:17+00:00,https://twitter.com/Natascharosa/status/1670399026397585408,Natascharosa
@sinancan77 dankjewel,2023-06-18 11:45:11+00:00,https://twitter.com/KGFerrier/status/1670397241918464000,KGFerrier
@sinancan77 Wat mooi Sinan.,2023-06-18 09:52:45+00:00,https://twitter.com/BeijerPauline/status/1670368947466645504,BeijerPauline
@sinancan77 &lt;3,2023-06-18 09:17:12+00:00,https://twitter.com/DingotheDingo1/status/1670359998298243080,DingotheDingo1
@sinancan77 I was a mum and a dad. And only had a dad until 5 years of age.,2023-06-18 08:52:24+00:00,https://twitter.com/XandraDeGroot1/status/1670353760176988160,XandraDeGroot1
@sinancan77 Lief.,2023-06-18 08:50:06+00:00,https://twitter.com/HuijtsAnna/status/1670353178368397315,HuijtsAnna
@sinancan77 Pooh forever,2023-06-18 08:49:19+00:00,https://twitter.com/fransclaassens1/status/1670352981852553217,fransclaassens1
"@sinancan77 @FSchrijft Wat een prachtig, verblijdend, moedgevend beeld!",2023-06-16 06:28:22+00:00,https://twitter.com/GWKnottnerus/status/1669592734145953792,GWKnottnerus
"@sinancan77 @amnestynl Nadat ik dit gelezen had in de papieren versie, viel 
me in dat jij veel mensen een gezicht hebt gegeven
 en mocht kijken in de harten van deze mensen. 

Glimpen van de hemel bracht je verder .....
@sinancan77 dank 💕",2023-06-14 11:18:58+00:00,https://twitter.com/joke_vesseur/status/1668941090945220611,joke_vesseur
@sinancan77 @amnestynl Inderdaad zoals het Ukrainse kanonnenvoer dat op de slachtbank wordt gelegd agv onze steun aan een fout regime.,2023-06-14 10:04:37+00:00,https://twitter.com/Bit00896536/status/1668922380024963072,Bit00896536
@sinancan77 @amnestynl Heel mooi en zo waar. 🙏✨💞,2023-06-14 07:41:55+00:00,https://twitter.com/bonn_tanja/status/1668886468012515328,bonn_tanja
"@sinancan77 @jennifer_elders @amnestynl Sinan, je bent een hoopverlener 🙏
Laten we de mensen verbinden die een ander wél kunnen en willen zien.
Iedereen heeft minstens één ander nodig om te kunnen (over-)leven.
#hoopverlening",2023-06-14 07:26:43+00:00,https://twitter.com/MoorenGertie/status/1668882644451377152,MoorenGertie
@sinancan77 @amnestynl ❤️,2023-06-14 06:44:06+00:00,https://twitter.com/mmeiwaa/status/1668871919435673604,mmeiwaa
"@sinancan77 @amnestynl Wat goed dat je dit kan zien Sinan, dit klopt als een bus!!! Dit is geestelijk kijken als je het mij vraagt. Het mooie is als je geestelijk kan zien dat je dan ook de dingen van de hemel zou moeten kunnen zien, ook deze zijn er zeer zeker!!!",2023-06-14 06:09:47+00:00,https://twitter.com/Jos35122492/status/1668863283456098304,Jos35122492
"@sinancan77 @amnestynl De hel is als iedereen het ziet, maar het niemand kan schelen.",2023-06-14 05:50:55+00:00,https://twitter.com/mottani38/status/1668858534786654208,mottani38
@sinancan77 @amnestynl De hel is waar de liefde en het licht van #God niet tot doordringt.,2023-06-14 04:55:42+00:00,https://twitter.com/Ton_hBC/status/1668844641301430273,Ton_hBC
@sinancan77 @JanPeterRake @amnestynl Prachtig. Wat een schitterend begin van deze dag. Dankjewel.,2023-06-14 04:40:00+00:00,https://twitter.com/caseofdees/status/1668840688924909569,caseofdees
@sinancan77 @amnestynl 👌🏾,2023-06-14 00:34:54+00:00,https://twitter.com/MarionBloem/status/1668779008081682433,MarionBloem
@sinancan77 @amnestynl ❤️,2023-06-13 21:37:20+00:00,https://twitter.com/gracht6/status/1668734323501985793,gracht6
@sinancan77 @amnestynl Ben daar,2023-06-13 21:21:35+00:00,https://twitter.com/sjamaanR/status/1668730359960285185,sjamaanR
@sinancan77 @amnestynl Aandachtshoer,2023-06-13 20:04:35+00:00,https://twitter.com/JanJans29182519/status/1668710979163570176,JanJans29182519
@sinancan77 @overlistener @amnestynl Wat mooi geschreven zeg!,2023-06-13 18:07:23+00:00,https://twitter.com/melvinkuiper/status/1668681484218122241,melvinkuiper
