text,date,url,from
@alaliwafa Grinnik,2023-06-18 20:47:26+00:00,https://twitter.com/dutch_bassman/status/1670533704941281280,dutch_bassman
@alaliwafa Volgens mij is Tunesië voor 98% islamitisch. Geloof van de vrede. In de islam is iedereen gelijk. Kan mij dus niet voorstellen dat mensen vanwege hun huidskleur benadeeld worden. Of is het net zoals in Soedan?,2023-06-12 16:04:03+00:00,https://twitter.com/Mvanzanten2/status/1668288061921165319,Mvanzanten2
@alaliwafa Mensenrechten is een gelegenheidsargument. Al die westerse mensrechtenorganisaties hoor je vandaag vrijwel niet.,2023-06-12 05:45:45+00:00,https://twitter.com/ali_jouladi/status/1668132461983809539,ali_jouladi
@alaliwafa Nope!,2023-06-12 01:03:35+00:00,https://twitter.com/marijkevanderst/status/1668061451758497792,marijkevanderst
"@alaliwafa Zwart afrikanen worden letterlijk kapot geslagen op straat zo ernstig is het geweld dat landen van herkomst vliegtuigen sturen. Alsof het de vvd, rutte of eu wat boeit. Nu wordt dat geweld verder aangesterkt met eu geld. 
#tfoe",2023-06-11 23:55:55+00:00,https://twitter.com/DrZemouri/status/1668044419507822593,DrZemouri
@alaliwafa Betalen voor je eigen belang en dat 'hulp aan Tunesië' noemen. It don't get better than this. 🤣🤣🤣,2023-06-11 22:46:33+00:00,https://twitter.com/psychologynudge/status/1668026966191079425,psychologynudge
@alaliwafa @YvonneSnitjer Laat Tunesië er inderdaad voor zorgen dat niemand uit Tunesië zelf hoeft te vluchten....,2023-06-11 20:26:38+00:00,https://twitter.com/JamesRon1980/status/1667991753012531200,JamesRon1980
@alaliwafa Ongelofelijk dat NL dat überhaupt verzint. Ik schaam me dood.,2023-06-09 20:29:33+00:00,https://twitter.com/tinekebennema/status/1667267710445559809,tinekebennema
"@alaliwafa @vonderleyen @GiorgiaMeloni @MinPres @markrutte @hrw #PressFreedom is also under severe threat in🇹🇳
@alaliwafa said @SpraakmakersOp1 that reporters won't have a moment to discuss Tunis meeting with leaders. What do they have to hide?

@hrw's Tunisia director @SaChellali + @philippe_dam &amp; @sunderland_jude  are available for comment.",2023-06-09 10:27:07+00:00,https://twitter.com/KooyJan/status/1667116106128015360,KooyJan
"@alaliwafa @beemsterbuma Misschien je wat beter verdiepen in de materie, wafa. https://t.co/RqEKmJSFrV",2023-06-08 21:44:29+00:00,https://twitter.com/HilmiKoca7/status/1666924179868860419,HilmiKoca7
"@alaliwafa Nee, dat zou ook bizar en inhumaan zijn.",2023-06-08 20:55:54+00:00,https://twitter.com/ChrisOsieck/status/1666911956005994498,ChrisOsieck
Ik begrijp nu dat de nieuwe regels het vastzetten van alleenstaande kinderen niet toestaan. Meerendeel lidstaten was ertegen. Nederland was voor.,2023-06-08 20:54:31+00:00,https://twitter.com/alaliwafa/status/1666911607933239296,alaliwafa
@alaliwafa @AukevanEijsden 'Het is geven en nemen tijdens onderhandelingen.' Zoiets zei hij...,2023-06-08 20:53:58+00:00,https://twitter.com/HarcoPloegman/status/1666911470184005637,HarcoPloegman
@alaliwafa @AukevanEijsden Het vastzetten van alleenstaande minderjarigen zit niet in de deal zei Van der Burg tegen Nieuwsuur.,2023-06-08 20:47:20+00:00,https://twitter.com/HarcoPloegman/status/1666909799437549575,HarcoPloegman
@alaliwafa ‘We hebben een deal’ zijn nu eenmaal magische woorden.,2023-06-08 20:43:05+00:00,https://twitter.com/AukevanEijsden/status/1666908730162659335,AukevanEijsden
"@alaliwafa @JohanFretz Vrouwenhaat is kennelijk ook geen probleem. 
https://t.co/WPjlDlJn8U",2023-05-15 21:23:53+00:00,https://twitter.com/JoylessRoger/status/1658221687597412352,JoylessRoger
"De voorzitter zou, met de negen overige adviesleden, pas twee weken geleden achter hun identiteit zijn gekomen. De klokkenluiders betwijfelen dit ten zeerste. Minister Weerwind heeft hen bescherming beloofd, maar zegt nu helemaal niks te kunnen doen.",2023-05-15 14:12:01+00:00,https://twitter.com/alaliwafa/status/1658113006327177217,alaliwafa
@alaliwafa @JohanFretz https://t.co/gF1cGqwtcV,2023-05-15 14:03:40+00:00,https://twitter.com/LaceyX1989/status/1658110906188849155,LaceyX1989
@alaliwafa @JohanFretz Tja. Treurig inderdaad. Het verschil is natuurlijk dat @ZAboukhlal goed betaald wordt voor die gokreclame en niet voor een ideële boodschap. Veel meer dan het geloof zijn het simpelweg de centen die zijn keuze bepalen. Stel je voor dat de schoorsteen niet meer rookt in huize Z.,2023-05-15 11:40:07+00:00,https://twitter.com/JurSchuurman/status/1658074778131914756,JurSchuurman
"@alaliwafa @JohanFretz Exact. Hypocriete, homohatende bullshit dus. Daarom ook #wegmetKökçü",2023-05-15 11:31:16+00:00,https://twitter.com/sphietje/status/1658072552739143685,sphietje
@alaliwafa @JohanFretz True true,2023-05-15 10:05:19+00:00,https://twitter.com/monets_nymph/status/1658050922994434052,monets_nymph
@alaliwafa @JohanFretz 🤝,2023-05-15 08:26:57+00:00,https://twitter.com/flintstoon/status/1658026165393563650,flintstoon
@alaliwafa Waar je wieg staat is een kwaliteit. Alleen door zo te denken kunnen ze dat onrecht rechtvaardigen.,2023-05-11 11:47:27+00:00,https://twitter.com/JonHuus/status/1656627071769010176,JonHuus
@alaliwafa @MelvynIngleby Veel raakvlakken met wat er in Turkije gebeurt nu,2023-05-11 10:24:41+00:00,https://twitter.com/suzanyucel/status/1656606242113036288,suzanyucel
"@alaliwafa Terwijl ..
https://t.co/oogesFfQB9",2023-05-11 09:26:55+00:00,https://twitter.com/YvonneSnitjer/status/1656591705628459009,YvonneSnitjer
"En ja, Europa laat landen die ontzettend veel vluchtelingen opvangen stikken. Met je ‘opvang in de regio’. Dat is wat je dan krijgt. Chaos, ellende, haat. Maar leiders als premier Rutte zullen dan wel ‘geografische pech’ roepen! 🤷🏽‍♀️",2023-05-11 08:27:06+00:00,https://twitter.com/alaliwafa/status/1656576653974282248,alaliwafa
Deze mensen kunnen hun energie maar beter gaan richten op de krijgsheren in pak. Maar de sektarische hypnose is zo hardnekkig dat ze nog lang opgescheept zullen zitten met het wanbestuur dat ze kennelijk willen.,2023-05-11 08:27:06+00:00,https://twitter.com/alaliwafa/status/1656576652225249280,alaliwafa
"@alaliwafa Politiek spelletje. Kaag (D66) financiert niet, vd Burg stopt, Paternotte (D66) komt verhaal halen, vd Burg start weer.",2023-05-10 19:56:00+00:00,https://twitter.com/BowineMichel/status/1656387634778783746,BowineMichel
@alaliwafa toch weet sieg het abstracte te idealiseren en het concrete te verketteren  en dat rechtvaardigd veel,2023-05-10 19:11:55+00:00,https://twitter.com/reiger72349449/status/1656376540093988866,reiger72349449
"De pilot is van rechtswege geëindigd, maar bestuurlijke afspraken zijn daarna gemaakt en uitgevoerd. Vandaag verwarring over, Kamerbrief heeft deze verwarring niet weggenomen. Althans, niet bij mij.",2023-05-09 20:34:14+00:00,https://twitter.com/alaliwafa/status/1656034864909434895,alaliwafa
"Staat immers in het regeerakkoord, en kan me niet voorstellen dat D66 en CU daar ooit akkoord mee zouden gaan. Punt is nog steeds of tot de landelijke uitrol er nog financiering zal blijven komen voor de vijf pilotgemeenten.",2023-05-09 20:33:17+00:00,https://twitter.com/alaliwafa/status/1656034628954669062,alaliwafa
Dit alles is zo extreem verwarrend. Nieuws van vandaag was: vijf pilotgemeenten krijgen vanaf 1 januari geen geld meer. Onderhandelingen landelijk netwerk moesten sowieso nog beginnen. Dat is wat ik bedoel met dat landelijk netwerk vandaag niet ter discussie stond.,2023-05-09 20:32:24+00:00,https://twitter.com/alaliwafa/status/1656034405486346245,alaliwafa
@alaliwafa @MarcelHaenen Illegalen noemen ze dat,2023-05-09 19:59:04+00:00,https://twitter.com/TeusTvG1/status/1656026017788510216,TeusTvG1
"@alaliwafa @debroervanroos Dank voor de traumatische herbeleving 🤣 Had gehoopt dat ik dat, naast Prince2, nooit meer hoefde te horen!",2023-05-08 20:37:09+00:00,https://twitter.com/GewetenloosNL/status/1655673211374149637,GewetenloosNL
@alaliwafa @debroervanroos Ik weet niet wat dat is maar heb er nu al een hekel aan.,2023-05-08 20:27:07+00:00,https://twitter.com/SjoerdWenting/status/1655670686944206878,SjoerdWenting
@alaliwafa Goed besluit. Gewoon uitzetten naar Italie. Stop asielindustrie. Italië moet maar eigen handel goed opzetten.,2023-05-05 21:06:13+00:00,https://twitter.com/waarheid66/status/1654593364564615169,waarheid66
@alaliwafa Wanneer het je uitkomt kun je de rechtsspraak negeren is de enige conclusie die je hieruit kunt trekken. Raar hè dat je daar NIEMAND over hoort? Gisteren nog iedereen begaan met Joden die afgevoerd werden. Zo hypocriet is dit land. @DilanYesilgoz @StasJenV,2023-05-05 18:47:49+00:00,https://twitter.com/psychologynudge/status/1654558533902569473,psychologynudge
@alaliwafa Goede keuze van ministerie om  een asielverzoek van degene die zo nodig doortrokken naar Nederland na aantoonbaar in Italië aan land te zijn gekomen pas na 1 jaar  in behandeling te nemen. Hoe onaantrekkelijker we Nederland maken hoe beter voor het land zo leert ook Denemarken !,2023-05-05 17:13:00+00:00,https://twitter.com/JHoman72113232/status/1654534673299537920,JHoman72113232
@alaliwafa consequentie moet dan zijn dat deze landen uit de Schengenzone gezet worden totdat ze hun opvang op orde hebben,2023-05-05 12:44:31+00:00,https://twitter.com/SpaceKwest/status/1654467105108926473,SpaceKwest
@alaliwafa #12JaarVVD,2023-05-05 08:56:41+00:00,https://twitter.com/david_bassie/status/1654409770940391425,david_bassie
De Europese rechtsorde drijft op vertrouwen. Inmiddels mag Nederland bij zes landen (straks misschien acht) er niet zomaar meer van uitgaan dat asielzoekers bij overdracht naar die landen goed worden behandeld.,2023-05-05 08:53:51+00:00,https://twitter.com/alaliwafa/status/1654409057170497538,alaliwafa
@alaliwafa Ja ik stond altijd aan deze kant,2023-05-04 11:42:47+00:00,https://twitter.com/sahnsahnsahn/status/1654089183231717377,sahnsahnsahn
@alaliwafa @kunst_landschap #12JaarVVD,2023-05-03 17:41:04+00:00,https://twitter.com/david_bassie/status/1653816960071655425,david_bassie
@alaliwafa De papieren weggooien heeft dus consequenties.,2023-05-03 17:20:03+00:00,https://twitter.com/ArjanGeorg/status/1653811669779329048,ArjanGeorg
"@alaliwafa ‘Ongedocumenteerd’ is dus illegaal omdat ze zijn uitgeprocedeerd en geen recht hebben om hier te blijven. Ze moeten dus uitgezet worden, terug naar eigen land. Nederland wordt totaal overlopen door derde wereld migranten. Eenmaal voet op onze bodem komen we er nooit meer vanaf.",2023-05-03 17:13:24+00:00,https://twitter.com/lm23905279/status/1653810000039497728,lm23905279
"@alaliwafa @nrc U kunt het niet ontkennen dat er te veel mensen in ons land binnen komen, huizen te kort, politie te kort, ziekenhuizen, artsen  tandartsen enz, te veel mensen op een postzegel dat gaat niet goed.",2023-05-03 15:36:23+00:00,https://twitter.com/ElsjeFied1/status/1653785584702193665,ElsjeFied1
"@alaliwafa En daar zijn wij Nederlanders blij mee, maar niet heus.",2023-05-03 15:34:42+00:00,https://twitter.com/ElsjeFied1/status/1653785159831896064,ElsjeFied1
"@alaliwafa @wileikelboom Mensen die ergens zijn waar ze niet mogen zij, die zijn zelf verantwoordelijk voor hun keuze.",2023-05-03 11:56:28+00:00,https://twitter.com/DianaMeijer1/status/1653730239275515906,DianaMeijer1
@alaliwafa Dank u. Prima artikel. En nog goed geschreven ook.,2023-05-03 11:12:27+00:00,https://twitter.com/tonsmit/status/1653719162311655424,tonsmit
"Schrijnend, maar ze zijn niet voor niets illegaal. 'ongedocumenteerde' is een stukje taalverandering zoals men vaker poogt, maar het blijven illegalen.
We missen inderdaad beleid; er dient beleid gemaakt te worden om er voor te zorgen dat deze mensen worden teruggebracht naar hun land van herkomst. Ook dat is een oplossing van dit probleem. Zoals dat in vele landen in de wereld gebruikelijk is. Illegaal= in detentie en terugsturen naar land van herkomst.",2023-05-03 10:45:30+00:00,https://twitter.com/Frankmeister__/status/1653712379283222535,Frankmeister__
@alaliwafa @SarahSHassan Shukran kteer kteer!!,2023-05-03 09:23:41+00:00,https://twitter.com/bvanblokland/status/1653691788316618752,bvanblokland
"@alaliwafa Tussen de 18.000 en 27.000 ongedocumenteerde buitenlanders zonder woning?
U zou ook 's een artikel moeten schrijven over de 35-40.000 Nederlandse daklozen, mevrouw 
Wafa Al Ali.
Zelfs Nederlandse vrouwen met kinderen worden bij huiselijk geweld verwezen naar de daklozenopvang.",2023-05-03 07:52:18+00:00,https://twitter.com/tonsmit/status/1653668794286370816,tonsmit
@alaliwafa Het beleid is toch dat ze het land uit moeten,2023-05-03 07:14:27+00:00,https://twitter.com/inuteis_lw/status/1653659266702606338,inuteis_lw
"Liever luisteren? In de podcast NRC Vandaag vertel ik erover, en je hoort ook de ongedocumenteerde Majid. Luisteren kan in je favoriete podcastapp, of via onze website. https://t.co/oOl4SjjGaA",2023-05-03 06:07:05+00:00,https://twitter.com/alaliwafa/status/1653642312340107265,alaliwafa
@alaliwafa Thanks!!!,2023-05-02 14:24:11+00:00,https://twitter.com/MinaMorkoc/status/1653405026759372800,MinaMorkoc
@alaliwafa Ik die dat niet probeerde te zeggen https://t.co/fCKjHNQsUU,2023-04-29 10:51:06+00:00,https://twitter.com/joritdinho/status/1652264238583369728,joritdinho
"@alaliwafa Goed stuk, dankjewel! Heb je enig idee in welk opzicht de staatssecretaris de nareisbeperking ""een succesje"" vond?",2023-04-29 04:44:02+00:00,https://twitter.com/SaskiaBonjour/status/1652171862338576387,SaskiaBonjour
"@alaliwafa Dat de de nareisbeperking voor gezinsleden van statushouders als enige succesje is genoemd vind ik diep en diep triest, maar ook veelzeggend over de grondhouding van het kabinet ten aanzien van mensen die hier een veilig toevlucht zoeken. Dank voor je korte artikel.",2023-04-28 18:25:22+00:00,https://twitter.com/ArjanMuil/status/1652016169442848768,ArjanMuil
"@alaliwafa Dank voor deken, ik ga het lezen. Ik heb wel moeite met de term asielcrisis in de titel omdat dit het probleem bij de asielzoekers legt, terwijl het een #asielOPVANGcrisis is wegens falend bestuur.",2023-04-28 17:56:51+00:00,https://twitter.com/ArjanMuil/status/1652008994486067200,ArjanMuil
"@alaliwafa @nrc De regering heeft niets gedaan.
Er hadden al honderdduizenden gelukszoekers naar huis gestuurd kunnen worden, maar VVD66 laat de grenzen volledig openstaan.

De omvolking mag kennelijk niet gestopt worden.
En de NRC steunt deze (culturele) genocide op het blanke volk.",2023-04-27 06:35:28+00:00,https://twitter.com/Meer_Harm/status/1651475128528650241,Meer_Harm
