text,date,url,from
@YelleTieleman @huskenmarian @jmeeus12 @HarryLensink Was weer een topaflevering👍🏻,2023-06-25 20:16:42+00:00,https://twitter.com/klaas_jan/status/1673062684395225088,klaas_jan
@YelleTieleman @DeNieuweWillem Mijn favoriete podcast!,2023-06-24 10:15:54+00:00,https://twitter.com/JuanModaal/status/1672549099290128384,JuanModaal
@YelleTieleman @jloos87 Spoiler alert 2.0,2023-06-21 15:58:59+00:00,https://twitter.com/joopwijnen/status/1671548276238172160,joopwijnen
@YelleTieleman Zeer waarschijnlijk zit er een met een krasje bij. Ik mag van mijn bron niet loslaten of dat fysiek of mentaal is.,2023-06-21 15:34:58+00:00,https://twitter.com/jloos87/status/1671542234007629829,jloos87
@YelleTieleman Ik hoop ook op een speler. Maar ik verwacht er zeker in de komende 8 weken minimaal een. Durf het zelfs aan dat het er 2-3 zijn.,2023-06-21 15:31:24+00:00,https://twitter.com/jloos87/status/1671541333691957248,jloos87
@YelleTieleman @Podimo_NL Kijk.. mijn vraag al gelijk beantwoord.,2023-06-17 18:35:12+00:00,https://twitter.com/bossanovaboy/status/1670138035806126083,bossanovaboy
@YelleTieleman @huskenmarian @NWADAM Geef je een reminder als het boek uitgegeven is? Ik kijk er naar uit. 🍀✌️,2023-06-16 14:37:32+00:00,https://twitter.com/DannyLaanDH/status/1669715837467467778,DannyLaanDH
@YelleTieleman @vechtsport_Info @NWADAM Lijkt me een top-boek,2023-06-16 13:56:57+00:00,https://twitter.com/BertjeKops/status/1669705626857926656,BertjeKops
@YelleTieleman @NWADAM Benieuwd!,2023-06-16 11:45:32+00:00,https://twitter.com/EricArends/status/1669672552539594754,EricArends
"@YelleTieleman @NWADAM Spannend, Yelle!",2023-06-16 08:19:58+00:00,https://twitter.com/StefanTieleman/status/1669620819687886848,StefanTieleman
"Wat ook leuk is: in dezelfde periode komt ook de spannende podcastserie over hetzelfde schokkende onderwerp uit, bij @Podimo_NL.",2023-06-16 07:27:48+00:00,https://twitter.com/YelleTieleman/status/1669607693001080832,YelleTieleman
@YelleTieleman @NWADAM Van harte Yelle!,2023-06-16 07:25:31+00:00,https://twitter.com/PaulVerweijen/status/1669607120185044992,PaulVerweijen
@YelleTieleman @NWADAM Yes! Weer een fijn misdaadboek!🥳🥳,2023-06-15 17:49:02+00:00,https://twitter.com/RavishSitaldin/status/1669401642058301448,RavishSitaldin
@YelleTieleman @BoldewijnWilson @NWADAM Een ‘must have’! Zeer benieuwd.,2023-06-15 16:06:15+00:00,https://twitter.com/Schout87/status/1669375775353520129,Schout87
@YelleTieleman @NWADAM Leuk Yelle en gefeliciteerd Nieuw Amsterdam! Benieuwd naar het verhaal.,2023-06-15 15:08:33+00:00,https://twitter.com/vicolling/status/1669361255398686721,vicolling
@YelleTieleman @NWADAM Ziet er gaaf uit de cover ben benieuwd komt ie ook op storytel?,2023-06-15 15:00:29+00:00,https://twitter.com/reinderradersma/status/1669359228291801089,reinderradersma
@YelleTieleman @NWADAM Die zou ik wel willen hebben!,2023-06-15 14:58:21+00:00,https://twitter.com/JSTNNHZ/status/1669358689738977280,JSTNNHZ
"@YelleTieleman @NWADAM Mooi werk Yelle, ben erg benieuwd!",2023-06-15 14:54:40+00:00,https://twitter.com/JorisPeters2/status/1669357762495811585,JorisPeters2
@YelleTieleman @NWADAM Die wil ik voor vaderdag.,2023-06-15 14:29:56+00:00,https://twitter.com/dunhelmonder/status/1669351538052198405,dunhelmonder
@YelleTieleman @NWADAM Cool!,2023-06-15 14:26:08+00:00,https://twitter.com/fverhoef/status/1669350581947994114,fverhoef
@YelleTieleman @NWADAM Een boek van @jmeeus12 is een verrijking voor je boekenkast! Top!,2023-06-15 14:26:06+00:00,https://twitter.com/LTFO14_John/status/1669350571911020545,LTFO14_John
@YelleTieleman @NWADAM Tof! Dit is zó'n belangrijke en boeiende zaak.,2023-06-15 14:24:19+00:00,https://twitter.com/OkkiPepernoot/status/1669350125188288521,OkkiPepernoot
@YelleTieleman @NWADAM Kan ik me alvast inschrijven? Krijg ik dan een gesigneerd exemplaar? 😉,2023-06-15 14:23:14+00:00,https://twitter.com/OkkiPepernoot/status/1669349851820355585,OkkiPepernoot
@YelleTieleman Zeker!,2023-06-09 04:54:14+00:00,https://twitter.com/Meikebe/status/1667032331398307841,Meikebe
@YelleTieleman nou mij nie bellen,2023-06-08 13:42:29+00:00,https://twitter.com/AnkePaulusma/status/1666802883285880836,AnkePaulusma
"@YelleTieleman @Advo_Veldheer Op de bewegende beelden zie je de verdachte zeker 15 seconden op de plaats delict verkeren, om zich daarna tevreden in het gras te wentelen https://t.co/7JVzl5BAsr",2023-06-08 07:47:00+00:00,https://twitter.com/JaapBaar/status/1666713422526808065,JaapBaar
@YelleTieleman Alles voor de rechtsstaat.,2023-06-07 20:18:07+00:00,https://twitter.com/PattyLievense/status/1666540059439366144,PattyLievense
@YelleTieleman En weer één die het risico loopt ten onder te gaan aan een immense en gevaarlijk druk die door de heer #Taghi zal gaan uitoefenen. #Ruperti kan zomaar de volgende zijn die zichzelf vreselijk overschat.,2023-06-07 15:01:41+00:00,https://twitter.com/MikeT109/status/1666460426417086464,MikeT109
@YelleTieleman Heeft ‘ie toch snel gefixt.,2023-06-07 14:19:18+00:00,https://twitter.com/Torpedr0/status/1666449759458951172,Torpedr0
"@YelleTieleman Ha ha ha ha

Nou Taghi succes ermee 🤣",2023-06-07 13:21:23+00:00,https://twitter.com/nourdeenw/status/1666435184495828992,nourdeenw
@YelleTieleman Voor hoe lang?,2023-06-07 12:12:20+00:00,https://twitter.com/itsAssie/status/1666417809251860480,itsAssie
@YelleTieleman voorlopig?,2023-06-07 11:56:26+00:00,https://twitter.com/strafarresten/status/1666413806694662146,strafarresten
@YelleTieleman Duh,2023-06-02 01:22:38+00:00,https://twitter.com/micheleggermont/status/1664442365568851968,micheleggermont
"De zin ""‘Cliënte heeft geen verklaring afgelegd vanwege haar geheimhoudingsplicht"" komt mij voor als ambigu.

Het laat ruimte voor de mogelijkheid dat ze wèl een verklaring heeft afgelegd; alleen niet vanwege haar geheimhoudingsplicht.

In de toevoeging ""en zal dit ook niet doen"" kan ""dit"" worden opgevat als 'een verklaring afleggen vanwege haar geheimhoudingsplicht'.

Worden advocaten geschoold in (on)dubbelzinnig schrijven?",2023-06-01 19:12:35+00:00,https://twitter.com/elseverwoerd/status/1664349240997343234,elseverwoerd
"@YelleTieleman Een advocaat kan natuurlijk altijd achter geheimhoudingsplicht verschuilen, maar wat zou een advocaat in deze kwestie wel kunnen zeggen wat haar cliënt niet schaad?",2023-06-01 14:57:35+00:00,https://twitter.com/Erik_Hanssen/status/1664285065063591939,Erik_Hanssen
@YelleTieleman Witte boorden ambtenaren / criminelen die dus aan ondermijning hebben meegeholpen en zwaar hun zakken gevuld met verkoop van horeca vergunningen,2023-06-01 14:33:02+00:00,https://twitter.com/DirtyHARRY2019/status/1664278887189331972,DirtyHARRY2019
@YelleTieleman Kunnen wij koffie doen Yelle ?over corruptie bij gemeente Amsterdam en politie met als opdrachtgevers vastgoed handelaren ben al 14 jaar bezig en het boek is klaar,2023-06-01 14:31:38+00:00,https://twitter.com/DirtyHARRY2019/status/1664278537384370176,DirtyHARRY2019
@YelleTieleman Dit beloofd niet veel goeds voor het OM ? lijkt mij,2023-06-01 14:29:59+00:00,https://twitter.com/DirtyHARRY2019/status/1664278119749124102,DirtyHARRY2019
@YelleTieleman @HarryLensink @Het_OM_College Bijzonder dat Rinus Otte deze functie kreeg. Als rechter was hij betrokken bij diverse gerechtelijke dwalingen https://t.co/YHAgh9odZZ,2023-06-01 14:11:57+00:00,https://twitter.com/marcelvandenber/status/1664273583793926150,marcelvandenber
@YelleTieleman Er is wel een grens aan dat principe. De handelingen van de personages moeten ook begrijpelijk voelen.,2023-05-31 07:19:14+00:00,https://twitter.com/timdegier/status/1663807331509960706,timdegier
@YelleTieleman @TheodorHolman Kan defensie vast oefenen want de komende jaren zal defensie het veel en veel drukker gaan krijgen. politie is totaal niet opgewassen op wat onherroepelijk komen gaat door 12 jaar Rutte.,2023-05-30 17:43:42+00:00,https://twitter.com/AstralChanges/status/1663602094400585728,AstralChanges
"@YelleTieleman @FTM_nl .@Defensie tijden veranderen. Soms helaas op een negatieve manier.

Ik neem aan dat met goed voorbereid wilt zijn mocht er dadelijk ineens een groep met AK's en body armor voor je staan. 🤷🏼‍♂️ (Voorbeeld)

Daarmee bedoel ik meer personeel, betere wapens en trainingen, etc.",2023-05-30 11:59:19+00:00,https://twitter.com/Johan50123/status/1663515427056525313,Johan50123
"@YelleTieleman @FTM_nl Ze hebben verder toch niks te doen, zo doen ze nog wat nuttigs.",2023-05-30 10:34:02+00:00,https://twitter.com/wdk____/status/1663493965683777537,wdk____
@YelleTieleman @FTM_nl Klopt helemaal,2023-05-30 07:58:00+00:00,https://twitter.com/dreka50/status/1663454700061044737,dreka50
@YelleTieleman @FTM_nl Onorthodoxe zaken vragen om onorthodoxe maatregelen.,2023-05-30 07:37:37+00:00,https://twitter.com/bart_bartelds/status/1663449570016215041,bart_bartelds
@YelleTieleman Alsof ze wat beters te doen hebben.,2023-05-30 07:11:42+00:00,https://twitter.com/GvVlimmeren/status/1663443049580580869,GvVlimmeren
@YelleTieleman @FTM_nl Drie keer achter elkaar in mijn TL en die van FTM zelf ook nog ergens. Waarom? https://t.co/3hgoQNOLdz,2023-05-30 06:53:46+00:00,https://twitter.com/mterburg/status/1663438533418205184,mterburg
@YelleTieleman Dank voor de gratis cadeaulink.,2023-05-30 05:43:54+00:00,https://twitter.com/AlexinArnhem/status/1663420951784988678,AlexinArnhem
"@YelleTieleman @eredivisie Sorry, maar ondanks de 4-0 heeft Cambuur het niet gehaald.",2023-05-28 22:50:10+00:00,https://twitter.com/micheleggermont/status/1662954445787869184,micheleggermont
@YelleTieleman @eredivisie Heb ik een reunie gemist?,2023-05-28 18:37:34+00:00,https://twitter.com/Erik_Hanssen/status/1662890876014669830,Erik_Hanssen
@YelleTieleman @ChrisFloks 😂😂,2023-05-25 19:54:41+00:00,https://twitter.com/MPeters50/status/1661823119923748867,MPeters50
@YelleTieleman @FTM_nl @jsdaalder Ik neem aan dat er dan ook gesprekken gaande zijn met @Heineken over sanctie-ontwijking?,2023-05-25 15:09:44+00:00,https://twitter.com/GKleinpaste/status/1661751410613157892,GKleinpaste
"@YelleTieleman @timdegier Aardig interview toevallig net geluisterd. 

https://t.co/U2qrm4IYZX",2023-05-24 18:33:49+00:00,https://twitter.com/bashakker/status/1661440381815250945,bashakker
@YelleTieleman Wel fijn dat we onze integrale doelgroep hiervoor (@eelcobvr en jij) influencen.,2023-05-24 14:15:23+00:00,https://twitter.com/timdegier/status/1661375344132145156,timdegier
@YelleTieleman En wie gaat al die data bewaren cq beschermen? Klinkt als een walnoot pletten met de hamer van Thor,2023-05-24 04:40:52+00:00,https://twitter.com/RaschHugo/status/1661230763709218817,RaschHugo
@YelleTieleman Je hebt toch niets te verbergen Yelle?,2023-05-23 15:45:55+00:00,https://twitter.com/ChrisFloks/status/1661035739507834881,ChrisFloks
@YelleTieleman Huh hoe kom je hierbij?,2023-05-23 14:15:37+00:00,https://twitter.com/DolsJeroen/status/1661013012801798147,DolsJeroen
@YelleTieleman Los daarvan. Hoeveel van de huidige verstoringen IN het stadion wordt gepleegd door mensen met een stadionverbod?,2023-05-23 14:07:07+00:00,https://twitter.com/JHBG24/status/1661010875388669952,JHBG24
"@YelleTieleman Thanks, Yelle!",2023-05-23 13:59:29+00:00,https://twitter.com/StefanTieleman/status/1661008954607177729,StefanTieleman
@YelleTieleman Niet? Is hij op onbegeleid verlof? #dtv,2023-05-17 08:06:25+00:00,https://twitter.com/TjerkLangman/status/1658745775122178048,TjerkLangman
@YelleTieleman 😂,2023-05-13 18:17:26+00:00,https://twitter.com/joriskers/status/1657449990950666240,joriskers
"@YelleTieleman Dus in 7 jaar tijd:
- Op sterkte komen. Op dit moment zijn we nog nooit zo leeg geweest. Nieuwe rechercheopleidingen zijn over 3 jaar pas klaar;
- We werken nu voornamelijk incidentgericht. Investeren in bestaande criminele groepen en dat volledig aanpakken is voor nu 'n utopie.",2023-05-13 09:10:40+00:00,https://twitter.com/MrRechercheur/status/1657312393116934145,MrRechercheur
"@YelleTieleman Mist de urgentie, wtf?",2023-05-13 09:00:41+00:00,https://twitter.com/MarijkeD87/status/1657309880192061440,MarijkeD87
"Voor de volledigheid hier de hele quote, uit het interview dat collega’s Van den Heuvel en Van Wely van De Telegraaf afnamen. https://t.co/y9qcdf0vUA",2023-05-13 08:52:50+00:00,https://twitter.com/YelleTieleman/status/1657307905232601088,YelleTieleman
@YelleTieleman wtf heeft die gerookt?,2023-05-13 08:45:10+00:00,https://twitter.com/brusselmans/status/1657305977543172096,brusselmans
@YelleTieleman Wat voor voordelen kunnen er voor hem aanzitten door zijn eigen verdediging te voeren?,2023-05-12 10:43:03+00:00,https://twitter.com/AngeHoog/status/1656973253166997506,AngeHoog
@YelleTieleman zijn beveiliging is tenminste goed,2023-05-12 09:47:10+00:00,https://twitter.com/AnkePaulusma/status/1656959191049723906,AnkePaulusma
@YelleTieleman Hele aardige jongen David,2023-05-09 19:18:46+00:00,https://twitter.com/zx000mn/status/1656015876359954470,zx000mn
@YelleTieleman Een beerput..waar gaat dat heen?,2023-05-09 12:13:22+00:00,https://twitter.com/shortandcurlie1/status/1655908820772696064,shortandcurlie1
"Een andere voetballer die voorkomt in dit dossier is oud-international David Mendes da Silva. 'Die ken ik wel', zegt Piet S. 'Hij zit bij mij in het HvB (Huis van Bewaring).' Da Silva is verdachte in een drugszaak, hij zou betrokken zijn geweest bij smokkel van 1584 kilo coke.",2023-05-09 09:59:53+00:00,https://twitter.com/YelleTieleman/status/1655875225131597825,YelleTieleman
"Dirk Kuyt speelde wél bij Edobet, gaf hij toe in een verhoor. Soms wel '25 ruggen per week', werd gezegd in een afgeluisterd politiegesprek. https://t.co/w4NOgraRJb",2023-05-09 08:07:38+00:00,https://twitter.com/YelleTieleman/status/1655846979140825088,YelleTieleman
"De naam van Wesley Sneijder is gevallen. In afgeluisterde gesprekken zei Freddy S. dat Sneijder bij Edobet gokte. 'Maar dat was om het allemaal mooier te maken. Sneijder gokte niet bij Edobet', zegt Freddy S. Sneijder heeft dat zelf ook in een verhoor ontkent.",2023-05-09 08:05:43+00:00,https://twitter.com/YelleTieleman/status/1655846497739579396,YelleTieleman
"'Ik heb alleen een paar buitenlandse klanten aangebracht', zegt Piet S. Volgens politie en justitie was Edobet gericht op de Nederlandse markt, maar dat zegt Piet en Freddy S. niets.",2023-05-09 07:55:22+00:00,https://twitter.com/YelleTieleman/status/1655843892741169154,YelleTieleman
"Piet S. wordt er van verdacht dat hij Edobet (zonder vergunning) exploiteerde. Maar dat is ‘klinkklare onzin, maar ik ken het wel. Ik had geen bemoeienis.' Ook zijn zoon Freddy is verdachte. 'Ik was agent en gaf adviezen. Het was de mooiste goksite van de wereld.'",2023-05-09 07:44:48+00:00,https://twitter.com/YelleTieleman/status/1655841230750728192,YelleTieleman
@YelleTieleman 🫶🏼,2023-05-06 16:46:31+00:00,https://twitter.com/JeanPaulRison/status/1654890395141132289,JeanPaulRison
@YelleTieleman Als we dan nog bier mogen…,2023-05-06 15:17:54+00:00,https://twitter.com/JeanPaulRison/status/1654868095691784195,JeanPaulRison
"@YelleTieleman @ThomasSijtsma Mijn respect voor zulk soort publicaties ten spijt waarin  dramatische,maatschappelijke en soms historische gebeurtenissen worden beschreven, zou er ook prioriteit moeten worden gegeven aan romans met heel wat straatrumoer erin. We leven nu eenmaal in een safari met zombies.",2023-05-05 23:28:22+00:00,https://twitter.com/RGangadin/status/1654629137590411265,RGangadin
@YelleTieleman Exact. Maar is dus niet 'minimaal'. Dat zou betekenen dat ze zeker niet minder dan 30 dagen vastzit en dat hoeft helemaal niet zo te zijn.,2023-05-04 15:55:17+00:00,https://twitter.com/Mototaal/status/1654152727570644996,Mototaal
@YelleTieleman Niet minimaal toch?,2023-05-04 12:26:17+00:00,https://twitter.com/Mototaal/status/1654100129979219973,Mototaal
@YelleTieleman Ik zie het volgende artikel graag tegemoet 👀,2023-05-03 06:22:18+00:00,https://twitter.com/maxdenblanken/status/1653646141865484289,maxdenblanken
@YelleTieleman Dank Yelle. Heel sympathiek dit.,2023-04-30 11:11:04+00:00,https://twitter.com/ThomasSijtsma/status/1652631650973646848,ThomasSijtsma
@YelleTieleman @FSC1977 Beetje kleuterschool niveau dan,2023-04-28 21:45:40+00:00,https://twitter.com/GastonSteijns/status/1652066575602667520,GastonSteijns
@YelleTieleman Was wel in de gym deze week hoorde ik,2023-04-28 19:21:25+00:00,https://twitter.com/FSC1977/status/1652030275604340736,FSC1977
@YelleTieleman Dan is dat op zijn minst zeer vreemd te noemen,2023-04-28 19:18:52+00:00,https://twitter.com/FSC1977/status/1652029634651869184,FSC1977
"@YelleTieleman @ForzaSittard @TweetvanTheun @FortunaSittard Is toch jammer dat je dit zo laat gebeuren, vooral omdat het publiek dit seizoen de weg naar het stadion weer heeft gevonden. De supporters willen gewoon feest, spektakel en een elftal dat gewoon opportunistisch voetbal speelt. 
Wel met 🍻🔰",2023-04-27 11:43:01+00:00,https://twitter.com/Hesseli13/status/1651552526540349441,Hesseli13
"@YelleTieleman @TweetvanTheun @FortunaSittard Blijft toch moeilijk communiceren met je achterban... open... transparant... duidelijkheid!

Ivo, Sjoerd, Isitan.....???",2023-04-26 20:12:56+00:00,https://twitter.com/1976_RC/status/1651318464445927428,1976_RC
@YelleTieleman @lucbormans 😅😅😅,2023-04-26 15:10:02+00:00,https://twitter.com/Torpedr0/status/1651242237307625477,Torpedr0
@YelleTieleman @lucbormans Net als z’n rendement. Twee assistjes erg karig in twee maanden. https://t.co/pmxOHf1Syh,2023-04-26 14:50:35+00:00,https://twitter.com/Torpedr0/status/1651237341451747336,Torpedr0
@YelleTieleman @landelijkparket SKN nummer bekend zodat het publiek haar steunbetuigingen kan sturen?,2023-04-24 13:47:44+00:00,https://twitter.com/Ticklestein/status/1650496750820401156,Ticklestein
"@YelleTieleman 😂😂😂😂😂😂😂😂😂😂  echte 🤡's werken tegenwoordig bij @Het_OM  dit is gewoon lachwekkend!  
Hopelijk pakt de aangifte van #inezweski  goed uit en volgt er een vrijspraak voor iedereen in #Marengo zaak!",2023-04-24 12:27:05+00:00,https://twitter.com/papillo00902883/status/1650476451806826501,papillo00902883
"@YelleTieleman Ik betwijfel dat. Volgens mij is dupliek nog niet afgerond en was er nog niet beslist op sommige verzoeken, nog los van het laatste woord. Taghi zit nu zonder advocaat dus de zaak kan helemaal niet verder. Een nieuwe advocaat voor hem vinden geeft zomaar een halfjaar vertraging.",2023-04-22 08:09:37+00:00,https://twitter.com/BJTieman/status/1649686885407641603,BJTieman
"@YelleTieleman Wacht nu eerst allemaal de feiten af voordat u oordeelt,  meningen geeft. Laat het oordeel aan de rechter.",2023-04-21 20:07:48+00:00,https://twitter.com/LexPenders/status/1649505232466989057,LexPenders
"@YelleTieleman Als dit klopt, is het OM in deze intrinsiek opportunistisch en verrot.. het OM mag bidden dat ze een snoeiharde zaak hebben om deze zeer ervaren, integere en capabele advocate reeds in dit stadium zo publiekelijk aan de schandpaal te nagelen...",2023-04-21 19:05:44+00:00,https://twitter.com/bartnooitgedagt/status/1649489614116102146,bartnooitgedagt
@YelleTieleman dingdingding https://t.co/7H4pvsRAvw,2023-04-21 17:37:39+00:00,https://twitter.com/murderincNL/status/1649467447731167233,murderincNL
@YelleTieleman De reacties onder die tweet…. dat zijn (vermoedelijk) allemaal mensen met stemrecht.,2023-04-21 17:08:29+00:00,https://twitter.com/nourdeenw/status/1649460105572745246,nourdeenw
@YelleTieleman B.I.Z.A.R,2023-04-21 16:49:17+00:00,https://twitter.com/RutgervdBosch/status/1649455276158844949,RutgervdBosch
@YelleTieleman https://t.co/Eu5NQrCd1P,2023-04-21 16:37:34+00:00,https://twitter.com/vis_para/status/1649452325491167232,vis_para
@YelleTieleman https://t.co/t3VdxgLKqs,2023-04-21 16:37:19+00:00,https://twitter.com/vis_para/status/1649452263243481091,vis_para
@YelleTieleman https://t.co/QEoT0qfquh,2023-04-21 16:37:10+00:00,https://twitter.com/vis_para/status/1649452224710430724,vis_para
@YelleTieleman waneer is het kabinet aan de beurt om opgepakt te worden?,2023-04-21 16:35:48+00:00,https://twitter.com/hendrik3156/status/1649451880047673366,hendrik3156
@YelleTieleman Vandaag stond de 2de dag van het slotpleidooi op het programma. Is nu geschrapt. Timing is niet helemaal lekker.,2023-04-21 16:22:37+00:00,https://twitter.com/LadyMouseBl/status/1649448563212967936,LadyMouseBl
"@YelleTieleman Ik denk dat als je zo dicht bij Taghi komt dat je misschien ongewild de druk voelt die in zo'n situatie naar voren komt dat je min of meer gedwongen wordt om info door te spelen. En wie weet, misschien is Inez ook bedreigd. Laten we niet te snel oordelen...",2023-04-21 16:19:46+00:00,https://twitter.com/Darth40/status/1649447845173313536,Darth40
@YelleTieleman Het is een geruststellende gedachte dat het OM zich nooit vergist!,2023-04-21 16:04:32+00:00,https://twitter.com/ruudtsas/status/1649444011105480704,ruudtsas
"@YelleTieleman Die Taghi heeft wel gevoel voor drama, die dacht: ik huur gewoon the Joker in als advocaat die verdenken ze nooit. 😁",2023-04-21 15:56:16+00:00,https://twitter.com/Steefdenhaag/status/1649441932517490690,Steefdenhaag
@YelleTieleman Heel interessant,2023-04-21 15:18:59+00:00,https://twitter.com/jkb5314/status/1649432551101018112,jkb5314
@YelleTieleman Gelukkig weer een verhaallijn voor zogenaamde crime journalisten die in samenwerking met justitie aka ‘persoonlijke bronnen’  hun zakken eindeloos met podcasts en kranten kunnen vullen. Geniet ervan!,2023-04-21 15:06:49+00:00,https://twitter.com/lou25557761/status/1649429486302117890,lou25557761
@YelleTieleman 😳,2023-04-21 15:03:40+00:00,https://twitter.com/cox_nathalie/status/1649428696590057473,cox_nathalie
"@YelleTieleman “Haar(Inez Weski)dossier lag maanden bij de rechercheofficier en t hing in de lucht”#hoelangal? 
Recherche+officier staan buiten t werk/ invloed v advocaten.
Hoe snel gaat vooruitgang v kennis in NL als men *advocaat+dader* opsluit?
Untouchables = protected group works perfect..",2023-04-21 14:57:16+00:00,https://twitter.com/ladydus22/status/1649427084924551168,ladydus22
"@YelleTieleman Het verbaasd me niets. Het is onderhand duidelijk dat als je niet doet wat taghi zegt, je ergens eindigde waar je niet wil eindigen.  Ondanks het z'n neef was heeft die er denk ik ook niet echt een keuze in gehad. Weigeren is je doodvonnis tekenen bleek al vaker",2023-04-21 13:57:40+00:00,https://twitter.com/riesloo77/status/1649412087288852481,riesloo77
@YelleTieleman Ik moet zeggen dat dit redelijk vaag is. Kun je uitleggen wat de regels/wetten zijn hierover? Je mag als advocaat geen informatie die je van een verdachte krijgt doorgeven aan anderen buiten de gevangenis?,2023-04-21 13:41:33+00:00,https://twitter.com/De_Baass/status/1649408029622779905,De_Baass
